,episode_reward,nb_episode_steps,nb_steps
0,-250.0,50,50
1,0.0,50,100
2,0.0,50,150
3,0.0,50,200
4,0.0,50,250
5,0.0,50,300
6,0.0,50,350
7,98.0,50,400
8,-650.0,50,450
9,0.0,50,500
10,-1400.0,50,550
11,0.0,50,600
12,48.0,50,650
13,33.0,45,695
14,0.0,50,745
15,0.0,50,795
16,-26.0,50,845
17,-338.0,50,895
18,0.0,70,965
19,-280.0,50,1015
20,0.0,50,1065
21,0.0,10,1075
22,0.0,48,1123
23,0.0,45,1168
24,-563.0,50,1218
25,86.0,50,1268
26,0.0,50,1318
27,0.0,50,1368
28,2.0,50,1418
29,0.0,50,1468
30,0.0,50,1518
31,-581.0,59,1577
32,0.0,50,1627
33,-490.0,50,1677
34,126.0,70,1747
35,0.0,50,1797
36,-30.0,50,1847
37,0.0,50,1897
38,0.0,50,1947
39,-22.0,50,1997
40,0.0,50,2047
41,0.0,50,2097
42,0.0,50,2147
43,-6375.0,50,2197
44,72.0,50,2247
45,0.0,50,2297
46,0.0,50,2347
47,0.0,50,2397
48,-2975.0,50,2447
49,0.0,50,2497
50,0.0,50,2547
51,0.0,50,2597
52,-4950.0,45,2642
53,76.0,50,2692
54,0.0,50,2742
55,0.0,50,2792
56,0.0,50,2842
57,0.0,65,2907
58,0.0,50,2957
59,-320.0,50,3007
60,-430.0,50,3057
61,0.0,50,3107
62,0.0,50,3157
63,0.0,50,3207
64,-458.0,50,3257
65,0.0,50,3307
66,0.0,50,3357
67,-360.0,50,3407
68,0.0,50,3457
69,0.0,50,3507
70,0.0,50,3557
71,0.0,50,3607
72,72.0,70,3677
73,108.0,50,3727
74,-9840.0,70,3797
75,-142.0,50,3847
76,156.0,50,3897
77,0.0,50,3947
78,-50.0,13,3960
79,-670.0,70,4030
80,0.0,50,4080
81,0.0,50,4130
82,-1395.0,50,4180
83,0.0,50,4230
84,-210.0,50,4280
85,-112.0,13,4293
86,0.0,50,4343
87,0.0,50,4393
88,0.0,50,4443
89,-250.0,50,4493
90,24.0,50,4543
91,0.0,50,4593
92,0.0,50,4643
93,0.0,50,4693
94,-2175.0,90,4783
95,0.0,50,4833
96,-170.0,50,4883
97,0.0,50,4933
98,0.0,50,4983
99,0.0,22,5005
100,0.0,50,5055
101,56.0,50,5105
102,138.0,70,5175
103,0.0,50,5225
104,0.0,50,5275
105,0.0,50,5325
106,138.0,70,5395
107,0.0,50,5445
108,-216.0,45,5490
109,0.0,27,5517
110,0.0,50,5567
111,-592.0,50,5617
112,0.0,50,5667
113,42.0,50,5717
114,-730.0,50,5767
115,-530.0,70,5837
116,0.0,50,5887
117,-100.0,50,5937
118,-48.0,50,5987
119,198.0,50,6037
120,-380.0,50,6087
121,0.0,50,6137
122,-368.0,50,6187
123,-166.0,45,6232
124,0.0,50,6282
125,-510.0,70,6352
126,-175.0,50,6402
127,0.0,50,6452
128,0.0,50,6502
129,0.0,50,6552
130,0.0,50,6602
131,-68.0,70,6672
132,0.0,50,6722
133,0.0,48,6770
134,-180.0,40,6810
135,0.0,48,6858
136,0.0,50,6908
137,2.0,50,6958
138,0.0,50,7008
139,0.0,50,7058
140,0.0,50,7108
141,0.0,50,7158
142,-70.0,50,7208
143,0.0,50,7258
144,2.0,50,7308
145,0.0,50,7358
146,178.0,50,7408
147,0.0,50,7458
148,0.0,50,7508
149,-5640.0,50,7558
150,0.0,50,7608
151,0.0,50,7658
152,0.0,50,7708
153,-340.0,50,7758
154,0.0,50,7808
155,0.0,50,7858
156,0.0,50,7908
157,-4271.0,50,7958
158,16.0,45,8003
159,0.0,50,8053
160,0.0,50,8103
161,0.0,50,8153
162,0.0,50,8203
163,0.0,70,8273
164,0.0,50,8323
165,0.0,11,8334
166,-465.0,50,8384
167,0.0,50,8434
168,0.0,50,8484
169,0.0,50,8534
170,-216.0,50,8584
171,-264.0,50,8634
172,-490.0,70,8704
173,0.0,50,8754
174,-260.0,50,8804
175,-5850.0,50,8854
176,-768.0,50,8904
177,-330.0,50,8954
178,-330.0,50,9004
179,0.0,50,9054
180,-220.0,50,9104
181,0.0,70,9174
182,-57.0,50,9224
183,0.0,50,9274
184,-490.0,50,9324
185,-5782.0,50,9374
186,-140.0,50,9424
187,-620.0,50,9474
188,-764.0,40,9514
189,-473.0,50,9564
190,-930.0,50,9614
191,0.0,50,9664
192,0.0,70,9734
193,10.0,50,9784
194,0.0,50,9834
195,-470.0,50,9884
196,0.0,50,9934
197,-402.0,45,9979
198,0.0,50,10029
199,0.0,50,10079
200,0.0,50,10129
201,0.0,50,10179
202,0.0,9,10188
203,0.0,50,10238
204,0.0,50,10288
205,-320.0,50,10338
206,0.0,50,10388
207,0.0,50,10438
208,0.0,50,10488
209,0.0,70,10558
210,0.0,50,10608
211,0.0,50,10658
212,0.0,50,10708
213,-70.0,50,10758
214,94.0,50,10808
215,0.0,50,10858
216,0.0,50,10908
217,-160.0,45,10953
218,0.0,70,11023
219,-260.0,50,11073
220,0.0,50,11123
221,0.0,50,11173
222,-440.0,50,11223
223,0.0,50,11273
224,6.0,50,11323
225,-270.0,45,11368
226,-192.0,50,11418
227,-42.0,50,11468
228,-70.0,50,11518
229,94.0,50,11568
230,-660.0,70,11638
231,0.0,50,11688
232,-200.0,50,11738
233,0.0,50,11788
234,0.0,28,11816
235,0.0,50,11866
236,0.0,50,11916
237,0.0,50,11966
238,0.0,50,12016
239,0.0,50,12066
240,0.0,23,12089
241,-330.0,50,12139
242,-855.0,50,12189
243,0.0,50,12239
244,0.0,50,12289
245,0.0,50,12339
246,0.0,50,12389
247,-195.0,50,12439
248,-693.0,60,12499
249,0.0,50,12549
250,-100.0,50,12599
251,0.0,40,12639
252,0.0,50,12689
253,0.0,50,12739
254,-500.0,50,12789
255,0.0,50,12839
256,10.0,50,12889
257,0.0,50,12939
258,-30.0,50,12989
259,60.0,65,13054
260,-20.0,50,13104
261,-840.0,50,13154
262,0.0,50,13204
263,0.0,50,13254
264,-450.0,50,13304
265,0.0,50,13354
266,62.0,70,13424
267,0.0,50,13474
268,16.0,50,13524
269,76.0,70,13594
270,0.0,70,13664
271,0.0,13,13677
272,0.0,21,13698
273,-690.0,70,13768
274,16.0,41,13809
275,0.0,9,13818
276,0.0,50,13868
277,0.0,50,13918
278,0.0,50,13968
279,0.0,50,14018
280,-1465.0,50,14068
281,0.0,50,14118
282,0.0,50,14168
283,0.0,50,14218
284,0.0,50,14268
285,-430.0,50,14318
286,-4500.0,50,14368
287,114.0,50,14418
288,0.0,50,14468
289,0.0,50,14518
290,0.0,50,14568
291,0.0,50,14618
292,0.0,50,14668
293,-500.0,50,14718
294,-330.0,50,14768
295,0.0,50,14818
296,0.0,10,14828
297,0.0,50,14878
298,0.0,9,14887
299,0.0,38,14925
300,-360.0,50,14975
301,0.0,70,15045
302,-179.0,19,15064
303,-910.0,50,15114
304,0.0,50,15164
305,0.0,27,15191
306,0.0,50,15241
307,-144.0,50,15291
308,0.0,50,15341
309,0.0,50,15391
310,-140.0,50,15441
311,-505.0,70,15511
312,0.0,42,15553
313,0.0,65,15618
314,164.0,50,15668
315,20.0,50,15718
316,0.0,50,15768
317,-325.0,38,15806
318,0.0,50,15856
319,0.0,50,15906
320,0.0,50,15956
321,0.0,50,16006
322,0.0,46,16052
323,-100.0,45,16097
324,0.0,50,16147
325,0.0,50,16197
326,0.0,50,16247
327,0.0,50,16297
328,0.0,50,16347
329,0.0,50,16397
330,0.0,50,16447
331,0.0,50,16497
332,0.0,50,16547
333,0.0,50,16597
334,0.0,50,16647
335,0.0,50,16697
336,0.0,50,16747
337,0.0,50,16797
338,0.0,50,16847
339,-90.0,50,16897
340,-1275.0,50,16947
341,0.0,50,16997
342,0.0,50,17047
343,0.0,50,17097
344,92.0,50,17147
345,0.0,50,17197
346,14.0,50,17247
347,0.0,50,17297
348,0.0,50,17347
349,-5300.0,50,17397
350,0.0,50,17447
351,0.0,50,17497
352,94.0,50,17547
353,0.0,50,17597
354,0.0,50,17647
355,0.0,50,17697
356,0.0,50,17747
357,0.0,50,17797
358,0.0,50,17847
359,0.0,50,17897
360,0.0,50,17947
361,0.0,50,17997
362,0.0,50,18047
363,-59.0,50,18097
364,0.0,50,18147
365,0.0,50,18197
366,0.0,50,18247
367,0.0,50,18297
368,0.0,50,18347
369,-2250.0,50,18397
370,76.0,50,18447
371,0.0,50,18497
372,0.0,50,18547
373,-1260.0,50,18597
374,0.0,50,18647
375,0.0,50,18697
376,98.0,50,18747
377,0.0,50,18797
378,18.0,50,18847
379,0.0,50,18897
380,0.0,50,18947
381,0.0,50,18997
382,-20.0,50,19047
383,0.0,50,19097
384,0.0,50,19147
385,0.0,50,19197
386,0.0,50,19247
387,0.0,50,19297
388,0.0,50,19347
389,0.0,50,19397
390,0.0,50,19447
391,0.0,50,19497
392,0.0,50,19547
393,0.0,50,19597
394,0.0,32,19629
395,0.0,50,19679
396,0.0,50,19729
397,0.0,50,19779
398,0.0,50,19829
399,0.0,50,19879
400,0.0,45,19924
401,72.0,50,19974
402,10.0,50,20024
403,0.0,50,20074
404,0.0,50,20124
405,0.0,50,20174
406,0.0,50,20224
407,0.0,50,20274
408,0.0,50,20324
409,0.0,50,20374
410,0.0,50,20424
411,0.0,50,20474
412,0.0,50,20524
413,0.0,50,20574
414,0.0,50,20624
415,0.0,50,20674
416,-320.0,50,20724
417,0.0,50,20774
418,0.0,50,20824
419,-310.0,50,20874
420,0.0,50,20924
421,0.0,50,20974
422,0.0,29,21003
423,36.0,48,21051
424,0.0,50,21101
425,42.0,50,21151
426,-765.0,50,21201
427,0.0,50,21251
428,0.0,50,21301
429,0.0,50,21351
430,0.0,50,21401
431,0.0,50,21451
432,0.0,50,21501
433,0.0,28,21529
434,0.0,50,21579
435,0.0,50,21629
436,0.0,50,21679
437,0.0,50,21729
438,0.0,50,21779
439,0.0,50,21829
440,0.0,50,21879
441,0.0,50,21929
442,0.0,50,21979
443,0.0,14,21993
444,0.0,50,22043
445,0.0,50,22093
446,0.0,50,22143
447,0.0,50,22193
448,0.0,50,22243
449,0.0,50,22293
450,0.0,50,22343
451,0.0,50,22393
452,0.0,50,22443
453,0.0,50,22493
454,0.0,70,22563
455,0.0,50,22613
456,0.0,50,22663
457,0.0,50,22713
458,0.0,50,22763
459,0.0,50,22813
460,0.0,70,22883
461,0.0,20,22903
462,0.0,50,22953
463,0.0,50,23003
464,0.0,50,23053
465,0.0,50,23103
466,0.0,50,23153
467,28.0,50,23203
468,0.0,50,23253
469,0.0,50,23303
470,0.0,25,23328
471,0.0,50,23378
472,-4100.0,50,23428
473,0.0,14,23442
474,0.0,50,23492
475,0.0,50,23542
476,-240.0,50,23592
477,0.0,50,23642
478,0.0,50,23692
479,0.0,50,23742
480,0.0,50,23792
481,0.0,70,23862
482,0.0,50,23912
483,0.0,50,23962
484,0.0,50,24012
485,0.0,50,24062
486,0.0,50,24112
487,0.0,50,24162
488,0.0,50,24212
489,0.0,50,24262
490,0.0,70,24332
491,0.0,50,24382
492,52.0,50,24432
493,0.0,50,24482
494,0.0,50,24532
495,0.0,50,24582
496,0.0,50,24632
497,0.0,50,24682
498,0.0,50,24732
499,0.0,50,24782
500,0.0,50,24832
501,0.0,50,24882
502,0.0,50,24932
503,0.0,50,24982
504,0.0,70,25052
505,22.0,50,25102
506,0.0,50,25152
507,0.0,24,25176
508,0.0,50,25226
509,0.0,50,25276
510,0.0,50,25326
511,0.0,50,25376
512,14.0,50,25426
513,0.0,50,25476
514,0.0,50,25526
515,0.0,50,25576
516,0.0,50,25626
517,0.0,50,25676
518,0.0,50,25726
519,0.0,50,25776
520,0.0,50,25826
521,0.0,50,25876
522,0.0,50,25926
523,0.0,50,25976
524,0.0,50,26026
525,0.0,50,26076
526,0.0,50,26126
527,0.0,50,26176
528,-206.0,50,26226
529,0.0,70,26296
530,0.0,50,26346
531,0.0,50,26396
532,0.0,70,26466
533,0.0,50,26516
534,0.0,50,26566
535,0.0,50,26616
536,48.0,50,26666
537,0.0,50,26716
538,0.0,50,26766
539,0.0,50,26816
540,0.0,50,26866
541,0.0,50,26916
542,0.0,50,26966
543,-120.0,50,27016
544,0.0,50,27066
545,0.0,50,27116
546,0.0,50,27166
547,0.0,50,27216
548,0.0,50,27266
549,0.0,50,27316
550,-440.0,50,27366
551,50.0,50,27416
552,0.0,50,27466
553,-825.0,50,27516
554,0.0,50,27566
555,0.0,50,27616
556,0.0,50,27666
557,0.0,50,27716
558,0.0,50,27766
559,0.0,50,27816
560,-3900.0,50,27866
561,-400.0,50,27916
562,0.0,50,27966
563,0.0,46,28012
564,0.0,50,28062
565,36.0,50,28112
566,0.0,50,28162
567,0.0,50,28212
568,0.0,50,28262
569,0.0,50,28312
570,0.0,50,28362
571,0.0,50,28412
572,0.0,50,28462
573,0.0,50,28512
574,0.0,50,28562
575,0.0,40,28602
576,0.0,50,28652
577,0.0,50,28702
578,0.0,50,28752
579,-570.0,70,28822
580,0.0,50,28872
581,0.0,43,28915
582,92.0,50,28965
583,56.0,50,29015
584,100.0,50,29065
585,0.0,50,29115
586,0.0,50,29165
587,0.0,70,29235
588,0.0,50,29285
589,0.0,50,29335
590,0.0,50,29385
591,0.0,50,29435
592,0.0,50,29485
593,0.0,50,29535
594,0.0,50,29585
595,0.0,50,29635
596,0.0,50,29685
597,0.0,32,29717
598,0.0,50,29767
599,0.0,50,29817
600,0.0,50,29867
601,0.0,50,29917
602,0.0,50,29967
603,-1525.0,50,30017
604,0.0,50,30067
605,0.0,50,30117
606,0.0,50,30167
607,0.0,50,30217
608,-520.0,42,30259
609,0.0,50,30309
610,0.0,50,30359
611,0.0,50,30409
612,34.0,50,30459
613,0.0,50,30509
614,0.0,50,30559
615,0.0,50,30609
616,-4015.0,50,30659
617,-30.0,50,30709
618,100.0,50,30759
619,0.0,50,30809
620,0.0,50,30859
621,0.0,50,30909
622,0.0,50,30959
623,0.0,50,31009
624,0.0,50,31059
625,0.0,50,31109
626,22.0,65,31174
627,0.0,50,31224
628,-550.0,50,31274
629,0.0,50,31324
630,0.0,50,31374
631,0.0,50,31424
632,0.0,50,31474
633,0.0,50,31524
634,0.0,50,31574
635,-24.0,50,31624
636,0.0,50,31674
637,0.0,50,31724
638,-374.0,50,31774
639,0.0,50,31824
640,0.0,50,31874
641,-50.0,50,31924
642,0.0,50,31974
643,2.0,50,32024
644,-151.0,50,32074
645,0.0,50,32124
646,50.0,50,32174
647,0.0,50,32224
648,0.0,50,32274
649,6.0,50,32324
650,0.0,50,32374
651,0.0,50,32424
652,-185.0,45,32469
653,0.0,50,32519
654,-1320.0,50,32569
655,0.0,50,32619
656,0.0,50,32669
657,0.0,50,32719
658,0.0,50,32769
659,0.0,50,32819
660,0.0,50,32869
661,0.0,50,32919
662,0.0,50,32969
663,-735.0,50,33019
664,4.0,45,33064
665,0.0,50,33114
666,-410.0,50,33164
667,0.0,50,33214
668,0.0,50,33264
669,0.0,50,33314
670,0.0,50,33364
671,0.0,50,33414
672,0.0,50,33464
673,-70.0,50,33514
674,-235.0,70,33584
675,0.0,70,33654
676,0.0,50,33704
677,0.0,50,33754
678,0.0,27,33781
679,0.0,50,33831
680,0.0,19,33850
681,0.0,50,33900
682,0.0,50,33950
683,0.0,50,34000
684,-50.0,50,34050
685,0.0,50,34100
686,0.0,50,34150
687,0.0,50,34200
688,0.0,50,34250
689,-5605.0,50,34300
690,-32.0,70,34370
691,0.0,50,34420
692,0.0,50,34470
693,0.0,50,34520
694,-500.0,50,34570
695,0.0,50,34620
696,0.0,50,34670
697,-490.0,50,34720
698,0.0,50,34770
699,4.0,50,34820
700,0.0,50,34870
701,0.0,50,34920
702,-620.0,50,34970
703,-950.0,50,35020
704,-360.0,50,35070
705,-470.0,50,35120
706,0.0,50,35170
707,0.0,50,35220
708,140.0,40,35260
709,-929.0,50,35310
710,0.0,50,35360
711,0.0,50,35410
712,0.0,50,35460
713,-380.0,50,35510
714,0.0,50,35560
715,0.0,50,35610
716,22.0,50,35660
717,0.0,50,35710
718,0.0,50,35760
719,84.0,50,35810
720,0.0,50,35860
721,0.0,50,35910
722,0.0,50,35960
723,-1890.0,50,36010
724,0.0,50,36060
725,0.0,50,36110
726,0.0,50,36160
727,0.0,50,36210
728,0.0,50,36260
729,0.0,50,36310
730,0.0,50,36360
731,0.0,50,36410
732,0.0,50,36460
733,0.0,50,36510
734,0.0,50,36560
735,-80.0,48,36608
736,0.0,50,36658
737,0.0,50,36708
738,0.0,50,36758
739,0.0,50,36808
740,-30.0,50,36858
741,-90.0,50,36908
742,0.0,50,36958
743,0.0,50,37008
744,0.0,50,37058
745,0.0,50,37108
746,0.0,50,37158
747,0.0,50,37208
748,0.0,50,37258
749,-1870.0,50,37308
750,0.0,50,37358
751,0.0,50,37408
752,-3905.0,50,37458
753,0.0,50,37508
754,0.0,50,37558
755,0.0,50,37608
756,0.0,50,37658
757,0.0,70,37728
758,0.0,50,37778
759,-670.0,50,37828
760,0.0,50,37878
761,0.0,50,37928
762,0.0,50,37978
763,0.0,50,38028
764,0.0,50,38078
765,22.0,50,38128
766,0.0,50,38178
767,42.0,50,38228
768,0.0,50,38278
769,0.0,50,38328
770,0.0,50,38378
771,0.0,70,38448
772,0.0,50,38498
773,0.0,50,38548
774,0.0,70,38618
775,0.0,50,38668
776,0.0,50,38718
777,0.0,50,38768
778,-260.0,50,38818
779,0.0,70,38888
780,0.0,50,38938
781,0.0,50,38988
782,0.0,50,39038
783,0.0,50,39088
784,0.0,50,39138
785,0.0,50,39188
786,0.0,50,39238
787,0.0,50,39288
788,0.0,50,39338
789,0.0,50,39388
790,0.0,50,39438
791,0.0,50,39488
792,0.0,50,39538
793,0.0,50,39588
794,0.0,50,39638
795,0.0,50,39688
796,0.0,50,39738
797,0.0,50,39788
798,0.0,50,39838
799,0.0,50,39888
800,0.0,50,39938
801,0.0,50,39988
802,0.0,50,40038
803,0.0,50,40088
804,0.0,50,40138
805,0.0,70,40208
806,0.0,50,40258
807,0.0,50,40308
808,0.0,50,40358
809,0.0,50,40408
810,0.0,50,40458
811,0.0,50,40508
812,0.0,50,40558
813,-725.0,50,40608
814,0.0,50,40658
815,0.0,50,40708
816,0.0,50,40758
817,0.0,50,40808
818,0.0,50,40858
819,0.0,50,40908
820,0.0,50,40958
821,-340.0,50,41008
822,0.0,50,41058
823,0.0,50,41108
824,0.0,50,41158
825,0.0,50,41208
826,-110.0,50,41258
827,0.0,50,41308
828,0.0,50,41358
829,0.0,50,41408
830,0.0,50,41458
831,0.0,50,41508
832,0.0,50,41558
833,0.0,50,41608
834,0.0,50,41658
835,0.0,50,41708
836,0.0,50,41758
837,0.0,50,41808
838,0.0,50,41858
839,0.0,50,41908
840,0.0,30,41938
841,0.0,50,41988
842,0.0,50,42038
843,0.0,50,42088
844,0.0,50,42138
845,0.0,50,42188
846,0.0,50,42238
847,0.0,50,42288
848,0.0,50,42338
849,0.0,50,42388
850,12.0,50,42438
851,0.0,50,42488
852,0.0,50,42538
853,68.0,50,42588
854,0.0,50,42638
855,0.0,50,42688
856,0.0,50,42738
857,0.0,50,42788
858,0.0,50,42838
859,0.0,50,42888
860,0.0,50,42938
861,0.0,50,42988
862,0.0,50,43038
863,0.0,50,43088
864,-20.0,50,43138
865,0.0,50,43188
866,0.0,50,43238
867,0.0,50,43288
868,0.0,50,43338
869,0.0,50,43388
870,0.0,50,43438
871,0.0,50,43488
872,-3785.0,50,43538
873,0.0,50,43588
874,-202.0,45,43633
875,0.0,50,43683
876,0.0,45,43728
877,0.0,50,43778
878,0.0,50,43828
879,0.0,50,43878
880,0.0,50,43928
881,0.0,50,43978
882,0.0,50,44028
883,0.0,50,44078
884,0.0,60,44138
885,-140.0,50,44188
886,0.0,50,44238
887,-440.0,70,44308
888,0.0,50,44358
889,0.0,50,44408
890,-120.0,50,44458
891,0.0,50,44508
892,0.0,50,44558
893,0.0,50,44608
894,4.0,50,44658
895,-80.0,50,44708
896,-480.0,50,44758
897,0.0,70,44828
898,-3461.0,50,44878
899,0.0,50,44928
900,0.0,70,44998
901,0.0,50,45048
902,-210.0,14,45062
903,-406.0,50,45112
904,0.0,50,45162
905,0.0,50,45212
906,0.0,50,45262
907,0.0,50,45312
908,0.0,50,45362
909,-160.0,45,45407
910,0.0,50,45457
911,0.0,50,45507
912,10.0,50,45557
913,-460.0,50,45607
914,0.0,50,45657
915,30.0,50,45707
916,-2805.0,50,45757
917,0.0,50,45807
918,0.0,50,45857
919,-410.0,50,45907
920,0.0,50,45957
921,0.0,50,46007
922,-950.0,50,46057
923,0.0,50,46107
924,0.0,50,46157
925,0.0,50,46207
926,0.0,50,46257
927,0.0,50,46307
928,0.0,50,46357
929,0.0,50,46407
930,0.0,50,46457
931,0.0,50,46507
932,0.0,50,46557
933,0.0,50,46607
934,0.0,50,46657
935,0.0,50,46707
936,0.0,50,46757
937,0.0,50,46807
938,0.0,50,46857
939,-390.0,45,46902
940,0.0,50,46952
941,-860.0,50,47002
942,0.0,50,47052
943,0.0,50,47102
944,0.0,50,47152
945,0.0,50,47202
946,0.0,50,47252
947,-260.0,50,47302
948,0.0,37,47339
949,0.0,50,47389
950,0.0,50,47439
951,0.0,50,47489
952,0.0,50,47539
953,0.0,50,47589
954,0.0,50,47639
955,0.0,50,47689
956,0.0,50,47739
957,0.0,50,47789
958,0.0,50,47839
959,-310.0,50,47889
960,0.0,50,47939
961,0.0,50,47989
962,0.0,50,48039
963,0.0,50,48089
964,0.0,50,48139
965,-50.0,50,48189
966,0.0,50,48239
967,0.0,50,48289
968,0.0,50,48339
969,0.0,50,48389
970,0.0,50,48439
971,0.0,50,48489
972,0.0,50,48539
973,0.0,50,48589
974,0.0,70,48659
975,0.0,50,48709
976,0.0,50,48759
977,0.0,50,48809
978,0.0,50,48859
979,-390.0,50,48909
980,0.0,50,48959
981,0.0,50,49009
982,0.0,50,49059
983,-40.0,50,49109
984,0.0,50,49159
985,0.0,50,49209
986,0.0,50,49259
987,0.0,50,49309
988,0.0,50,49359
989,0.0,50,49409
990,0.0,50,49459
991,0.0,50,49509
992,0.0,50,49559
993,0.0,50,49609
994,0.0,50,49659
995,0.0,50,49709
996,0.0,50,49759
997,0.0,50,49809
998,0.0,50,49859
999,0.0,50,49909
1000,0.0,50,49959
1001,0.0,50,50009
1002,0.0,50,50059
1003,0.0,50,50109
1004,0.0,50,50159
1005,0.0,50,50209
1006,0.0,50,50259
1007,0.0,50,50309
1008,0.0,70,50379
1009,0.0,50,50429
1010,0.0,50,50479
1011,0.0,50,50529
1012,0.0,50,50579
1013,0.0,50,50629
1014,0.0,50,50679
1015,0.0,50,50729
1016,0.0,50,50779
1017,0.0,50,50829
1018,0.0,50,50879
1019,0.0,50,50929
1020,-3645.0,50,50979
1021,-6080.0,50,51029
1022,0.0,50,51079
1023,-80.0,50,51129
1024,-330.0,50,51179
1025,0.0,50,51229
1026,0.0,50,51279
1027,0.0,50,51329
1028,0.0,46,51375
1029,0.0,50,51425
